title,link,authors,authors_webpage,publish_date,book_length,price,purchase_links
Ketamine,https://mitpress.mit.edu/9780262542241/ketamine,Bita Moghaddam,https://mitpress.mit.edu/author/bita-moghaddam-15562,"February 16, 2021",200,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262542241
Recommendation Engines,https://mitpress.mit.edu/9780262539074/recommendation-engines,Michael Schrage,https://mitpress.mit.edu/author/michael-schrage-15361,"September 1, 2020",304,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262539074
Behavioral Insights,https://mitpress.mit.edu/9780262539401/behavioral-insights,Michael Hallsworth & Elspeth Kirkman,https://mitpress.mit.edu/author/michael-hallsworth-33251 & https://mitpress.mit.edu/author/elspeth-kirkman-33252,"September 1, 2020",248,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262539401
Algorithms,https://mitpress.mit.edu/9780262539029/algorithms,Panos Louridas,https://mitpress.mit.edu/author/panos-louridas-23692,"August 18, 2020",312,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262539029
Visual Culture,https://mitpress.mit.edu/9780262539364/visual-culture,Alexis L. Boylan,https://mitpress.mit.edu/author/alexis-l-boylan-31700,"August 11, 2020",248,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262539364
Phenomenology,https://mitpress.mit.edu/9780262539319/phenomenology,Chad Engelland,https://mitpress.mit.edu/author/chad-engelland-21633,"August 4, 2020",264,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262539319
Anticorruption,https://mitpress.mit.edu/9780262538831/anticorruption,Robert I. Rotberg,https://mitpress.mit.edu/author/robert-i-rotberg-7442,"July 21, 2020",272,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538831
Cynicism,https://mitpress.mit.edu/9780262537889/cynicism,Ansgar Allen,https://mitpress.mit.edu/author/ansgar-allen-28512,"April 14, 2020",280,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537889
Contraception,https://mitpress.mit.edu/9780262538428/contraception,Donna J. Drucker,https://mitpress.mit.edu/author/donna-j-drucker-17704,"April 7, 2020",264,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538428
Extraterrestrials,https://mitpress.mit.edu/9780262538435/extraterrestrials,Wade Roush,https://mitpress.mit.edu/author/wade-roush-27966,"April 7, 2020",240,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538435
AI Ethics,https://mitpress.mit.edu/9780262538190/ai-ethics,Mark Coeckelbergh,https://mitpress.mit.edu/author/mark-coeckelbergh-25812,"April 7, 2020",248,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538190
Spatial Computing,https://mitpress.mit.edu/9780262538046/spatial-computing,Shashi Shekhar & Pamela Vold,https://mitpress.mit.edu/author/shashi-shekhar-27374 & https://mitpress.mit.edu/author/pamela-vold-27375,"February 18, 2020",256,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538046
Smart Cities,https://mitpress.mit.edu/9780262538053/smart-cities,Germaine Halegoua,https://mitpress.mit.edu/author/germaine-halegoua-17179,"February 18, 2020",248,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538053
Quantum Entanglement,https://mitpress.mit.edu/9780262538442/quantum-entanglement,Jed Brody,https://mitpress.mit.edu/author/jed-brody-32281,"February 18, 2020",184,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538442
Irony and Sarcasm,https://mitpress.mit.edu/9780262538268/irony-and-sarcasm,Roger Kreuz,https://mitpress.mit.edu/author/roger-kreuz-22694,"February 18, 2020",232,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538268
Recycling,https://mitpress.mit.edu/9780262537827/recycling,Finn Arne Jørgensen,https://mitpress.mit.edu/author/finn-arne-jorgensen-20224,"November 12, 2019",208,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537827
Citizenship,https://mitpress.mit.edu/9780262537797/citizenship,Dimitry Kochenov,https://mitpress.mit.edu/author/dimitry-kochenov-27575,"November 12, 2019",344,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537797
Fake Photos,https://mitpress.mit.edu/9780262537490/fake-photos,Hany Farid,https://mitpress.mit.edu/author/hany-farid-23716,"September 10, 2019",232,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537490
Deep Learning,https://mitpress.mit.edu/9780262537551/deep-learning,John D. Kelleher,https://mitpress.mit.edu/author/john-d-kelleher-19876,"September 10, 2019",296,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537551
Nihilism,https://mitpress.mit.edu/9780262537179/nihilism,Nolen Gertz,https://mitpress.mit.edu/author/nolen-gertz-29045,"September 10, 2019",224,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537179
Virtual Reality,https://mitpress.mit.edu/9780262537520/virtual-reality,Samuel Greengard,https://mitpress.mit.edu/author/samuel-greengard-22712,"September 10, 2019",264,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537520
Food,https://mitpress.mit.edu/9780262537315/food,Fabio Parasecoli,https://mitpress.mit.edu/author/fabio-parasecoli-28507,"May 21, 2019",232,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537315
Computational Thinking,https://mitpress.mit.edu/9780262536561/computational-thinking,Peter J. Denning & Matti Tedre,https://mitpress.mit.edu/author/peter-j-denning-13845 & https://mitpress.mit.edu/author/matti-tedre-8919,"May 14, 2019",264,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262536561
Sexual Consent,https://mitpress.mit.edu/9780262537322/sexual-consent,Milena Popova,https://mitpress.mit.edu/author/milena-popova-31248,"May 7, 2019",216,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537322
3D Printing,https://mitpress.mit.edu/9780262536684/3d-printing,John M. Jordan,https://mitpress.mit.edu/author/john-m-jordan-24118,"March 12, 2019",240,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262536684
Spaceflight,https://mitpress.mit.edu/9780262536332/spaceflight,Michael J. Neufeld,https://mitpress.mit.edu/author/michael-j-neufeld-27284,"October 16, 2018",248,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262536332
